epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.1566,3.17481,3.9764,4.2476,0.00283,0.55085,0.00352,0.00128,2.62643,3.59535,4.15729,0.00015719,0.00015719,0.00015719
2,7.94352,2.97822,3.90362,4.18163,0.00301,0.57345,0.00518,0.00198,2.62649,3.60552,4.14795,0.000327043,0.000327043,0.000327043
3,10.6823,3.04661,3.8774,4.14661,0.00368,0.61864,0.00768,0.00265,2.62586,3.60087,4.12319,0.000495199,0.000495199,0.000495199
4,13.4027,3.03815,3.8242,4.09904,0.00376,0.63253,0.00806,0.00281,2.62318,3.57409,4.07433,0.000661656,0.000661656,0.000661656
5,16.089,3.0395,3.68016,3.99632,0.00334,0.59298,0.04802,0.01454,2.63514,3.63051,4.03713,0.000826416,0.000826416,0.000826416
6,18.6594,3.06146,3.66388,3.90777,0.00483,0.73192,0.03023,0.00832,2.68993,3.64014,3.99641,0.000989479,0.000989479,0.000989479
7,21.3457,3.01725,3.61806,3.79553,0.67781,0.02825,0.02257,0.0056,2.7325,8.13285,3.6337,0.00115084,0.00115084,0.00115084
8,24.0341,2.95405,3.58401,3.7025,0.67531,0.0452,0.0334,0.00723,2.67017,5.33358,3.60577,0.00131051,0.00131051,0.00131051
9,26.7232,2.8747,3.52693,3.58229,0.67425,0.28889,0.0397,0.00945,2.68163,14.3551,3.74891,0.00137241,0.00137241,0.00137241
10,29.3582,2.77567,3.46269,3.46386,0.34597,0.33409,0.08989,0.01954,2.65035,4.5417,3.55292,0.00136534,0.00136534,0.00136534
11,31.9554,2.60962,3.40764,3.34814,0.34875,0.33974,0.06882,0.01463,2.56528,3.76405,3.48108,0.00135826,0.00135826,0.00135826
12,34.5612,2.57427,3.36173,3.2862,0.37096,0.40791,0.07381,0.01614,2.51827,4.01583,3.44425,0.00135119,0.00135119,0.00135119
13,37.1725,2.56117,3.37386,3.23399,0.38181,0.26177,0.14494,0.04393,2.46446,4.53974,3.37721,0.00134412,0.00134412,0.00134412
14,39.8252,2.44524,3.36428,3.17236,0.74003,0.22222,0.10386,0.02906,2.52894,3.92545,3.42417,0.00133704,0.00133704,0.00133704
15,42.3675,2.50518,3.22811,3.13318,0.01578,0.28889,0.04932,0.01295,2.47656,3.45945,3.44714,0.00132997,0.00132997,0.00132997
16,44.9556,2.44136,3.23956,3.10159,0.19455,0.13857,0.0521,0.01594,2.56837,3.56034,3.939,0.0013229,0.0013229,0.0013229
17,47.5042,2.41291,3.18997,3.08737,0.68469,0.21179,0.11346,0.0258,2.59211,3.53183,3.79849,0.00131582,0.00131582,0.00131582
18,50.0535,2.36563,3.11807,3.00502,0.42964,0.10621,0.099,0.0311,2.37321,5.64409,3.39118,0.00130875,0.00130875,0.00130875
19,52.615,2.38395,3.05246,2.97348,0.13048,0.41492,0.14002,0.0448,2.31317,3.96291,3.37994,0.00130168,0.00130168,0.00130168
20,55.2249,2.32539,3.06255,2.956,0.54774,0.11676,0.20193,0.06245,2.37525,3.318,3.64929,0.0012946,0.0012946,0.0012946
21,57.8005,2.33352,3.04132,2.9087,0.25571,0.44835,0.22357,0.08081,2.37036,3.13248,3.30054,0.00128753,0.00128753,0.00128753
22,60.3681,2.33788,3.06312,2.95909,0.29454,0.41827,0.23752,0.07651,2.15051,2.93785,2.95385,0.00128046,0.00128046,0.00128046
23,62.9562,2.29816,2.96488,2.87901,0.17745,0.45245,0.11518,0.03921,2.20256,4.26614,3.00516,0.00127338,0.00127338,0.00127338
24,65.5948,2.29163,3.04268,2.86899,0.22502,0.36798,0.18921,0.05594,2.09458,3.16362,2.8992,0.00126631,0.00126631,0.00126631
25,68.1795,2.3033,2.91679,2.82403,0.1627,0.3314,0.1526,0.04915,2.22589,3.21545,3.21037,0.00125923,0.00125923,0.00125923
26,70.7969,2.18427,2.96026,2.77468,0.46963,0.11111,0.22972,0.07993,2.1224,3.09254,2.91216,0.00125216,0.00125216,0.00125216
27,73.3743,2.20222,2.95089,2.79581,0.38583,0.33922,0.28926,0.12157,2.0184,2.75321,2.83828,0.00124509,0.00124509,0.00124509
28,76.0335,2.19297,2.86663,2.74452,0.35077,0.24327,0.30899,0.12453,2.01782,2.88357,2.82828,0.00123801,0.00123801,0.00123801
